Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1683072000,40647,40063,542,1,3,0
AP,1683072000,32756,32570,154,2,3,0
EA,1683072000,0,0,0,0,0,0
EF,1683072000,81364,80665,632,3,8,0
EIC,1683072000,47493,47065,390,3,8,0
G,1683072000,36982,36552,416,1,0,1
GRZ,1683072000,39661,39161,456,5,1,0
GTH,1683072000,53208,52801,385,7,-1,0
HBN,1683072000,28414,27949,447,0,5,0
IK,1683072000,48782,48292,465,3,2,0
J,1683072000,47550,47271,193,2,4,0
KYF,1683072000,26993,26699,278,0,0,0
NDH,1683072000,29340,29177,115,1,0,0
SHK,1683072000,38151,37858,262,4,3,0
SHL,1683072000,12954,12729,214,2,1,1
SLF,1683072000,42277,41629,610,2,4,1
SM,1683072000,57285,56477,782,3,1,0
SOK,1683072000,34665,34279,356,6,3,0
SOM,1683072000,27837,27543,272,7,3,0
SON,1683072000,24787,24459,312,0,3,0
UH,1683072000,44046,43572,454,1,0,0
WAK,1683072000,65266,64739,472,0,9,0
WE,1683072000,27672,27452,201,3,2,0
TH,1683072000,888130,879002,8408,56,62,3
