Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1650585600,30192,26814,423,0,290,0
AP,1650585600,26261,22825,129,53,0,0
EA,1650585600,0,0,0,0,0,0
EF,1650585600,62526,60429,480,307,44,0
EIC,1650585600,34434,28718,328,146,191,0
G,1650585600,28040,26832,348,47,7,0
GRZ,1650585600,28742,23745,352,260,480,4
GTH,1650585600,41884,40281,326,86,105,0
HBN,1650585600,22825,20194,398,47,173,1
IK,1650585600,36607,34808,422,235,235,1
J,1650585600,33679,28371,140,351,555,0
KYF,1650585600,21582,18890,236,56,213,0
NDH,1650585600,23424,21045,101,40,208,0
SHK,1650585600,29218,26041,217,65,323,0
SHL,1650585600,9995,9396,174,45,51,0
SLF,1650585600,34836,32767,522,155,13,0
SM,1650585600,42228,39943,644,86,74,0
SOK,1650585600,28833,26254,315,65,168,0
SOM,1650585600,22492,21755,227,69,26,0
SON,1650585600,19644,16115,284,33,123,0
UH,1650585600,33117,31136,397,106,3,0
WAK,1650585600,48830,45654,440,149,256,1
WE,1650585600,20833,16705,149,80,160,0
TH,1650585600,680222,618718,7052,2481,3698,7
