Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1627948800,6928,6617,293,0,3,0
AP,1627948800,4121,4042,77,1,0,0
EA,1627948800,1961,1883,78,0,0,0
EF,1627948800,8662,8366,273,6,3,0
EIC,1627948800,6271,5999,250,7,0,0
G,1627948800,5728,5510,204,0,2,0
GRZ,1627948800,7885,7609,238,0,0,0
GTH,1627948800,8706,8488,205,0,2,0
HBN,1627948800,5423,5166,249,2,1,0
IK,1627948800,6523,6301,218,0,0,0
J,1627948800,4345,4258,84,2,2,0
KYF,1627948800,3685,3539,145,0,0,0
NDH,1627948800,2943,2872,70,0,0,0
SHK,1627948800,4766,4620,127,1,1,0
SHL,1627948800,2184,2069,113,0,0,0
SLF,1627948800,6788,6497,288,0,1,0
SM,1627948800,10057,9665,371,0,3,0
SOK,1627948800,6508,6319,183,3,0,0
SOM,1627948800,4170,4030,136,1,0,0
SON,1627948800,4258,4090,163,0,2,0
UH,1627948800,6429,6163,264,0,0,0
WAK,1627948800,8320,8062,250,0,2,0
WE,1627948800,2625,2517,103,1,0,0
TH,1627948800,129286,124682,4382,24,22,0
