Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1652918400,31269,29964,457,12,57,1
AP,1652918400,26961,26146,129,8,53,0
EA,1652918400,0,0,0,0,0,0
EF,1652918400,64230,63212,520,48,110,0
EIC,1652918400,36225,34783,336,0,157,0
G,1652918400,28865,28253,354,0,41,0
GRZ,1652918400,32596,31654,356,122,174,0
GTH,1652918400,43174,42486,339,34,37,0
HBN,1652918400,23487,22708,398,13,56,0
IK,1652918400,38142,37342,425,31,36,0
J,1652918400,35424,33567,144,26,115,3
KYF,1652918400,22165,21354,240,33,57,0
NDH,1652918400,23912,23516,101,9,28,0
SHK,1652918400,29948,29035,221,12,58,0
SHL,1652918400,10383,10063,178,9,15,0
SLF,1652918400,35471,34659,541,6,24,0
SM,1652918400,43999,42798,648,52,68,0
SOK,1652918400,29475,28668,328,12,45,2
SOM,1652918400,23084,22688,238,16,15,0
SON,1652918400,20132,19361,285,10,24,0
UH,1652918400,34695,33808,413,18,30,0
WAK,1652918400,50910,49519,445,45,121,0
WE,1652918400,21827,20740,156,12,79,0
TH,1652918400,706374,686324,7252,528,1400,6
