Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1656633600,32254,31060,470,96,9,1
AP,1656633600,27703,26966,130,27,0,0
EA,1656633600,0,0,0,0,0,0
EF,1656633600,66184,64799,533,121,31,0
EIC,1656633600,38334,36764,344,134,37,0
G,1656633600,29676,28930,358,38,18,0
GRZ,1656633600,33831,32976,370,38,7,0
GTH,1656633600,44405,43531,340,38,13,0
HBN,1656633600,24140,23420,415,20,9,0
IK,1656633600,39470,38494,429,77,37,1
J,1656633600,37283,35625,145,96,2,0
KYF,1656633600,22728,22053,241,19,3,0
NDH,1656633600,24506,24025,102,27,8,0
SHK,1656633600,30792,29900,222,24,9,0
SHL,1656633600,10701,10380,180,15,0,0
SLF,1656633600,36064,35278,546,29,7,0
SM,1656633600,45373,43990,661,47,18,3
SOK,1656633600,29964,29377,331,10,10,0
SOM,1656633600,23554,23091,243,18,5,0
SON,1656633600,20606,19973,285,14,4,0
UH,1656633600,35905,34865,415,50,2,0
WAK,1656633600,52537,51245,449,61,4,0
WE,1656633600,22813,21923,158,41,6,0
TH,1656633600,728823,708665,7367,1040,239,5
