Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1662336000,35083,33823,483,54,30,1
AP,1662336000,29567,29000,136,15,52,0
EA,1662336000,0,0,0,0,0,0
EF,1662336000,70999,69958,548,68,81,2
EIC,1662336000,42247,41606,358,35,28,0
G,1662336000,32315,31600,372,31,36,0
GRZ,1662336000,35897,35195,383,22,17,0
GTH,1662336000,47189,46545,351,50,36,0
HBN,1662336000,25547,24954,422,23,15,0
IK,1662336000,42498,41688,435,75,36,0
J,1662336000,41398,40268,159,78,66,0
KYF,1662336000,24381,23639,244,49,16,1
NDH,1662336000,26084,25556,105,36,28,0
SHK,1662336000,33198,32426,228,30,32,0
SHL,1662336000,11412,11134,186,8,13,0
SLF,1662336000,38075,37271,557,32,37,0
SM,1662336000,49331,48233,692,44,51,0
SOK,1662336000,31625,31076,339,24,23,0
SOM,1662336000,24919,24558,248,16,29,0
SON,1662336000,22014,21281,290,39,7,0
UH,1662336000,38973,38229,417,81,48,0
WAK,1662336000,56929,55924,453,59,86,0
WE,1662336000,24567,24185,168,32,34,0
TH,1662336000,784248,768149,7574,901,801,4
