Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1669248000,39053,37779,500,27,43,0
AP,1669248000,31974,31486,145,12,27,0
EA,1669248000,0,0,0,0,0,0
EF,1669248000,78271,77145,567,72,88,3
EIC,1669248000,45770,45132,369,20,15,1
G,1669248000,35656,35047,387,28,21,1
GRZ,1669248000,38649,37892,422,23,21,0
GTH,1669248000,51694,51141,372,18,24,0
HBN,1669248000,27835,27096,441,9,17,0
IK,1669248000,47345,46601,446,23,37,0
J,1669248000,45661,44802,173,19,35,0
KYF,1669248000,26357,25753,258,18,26,0
NDH,1669248000,28176,27725,109,18,26,1
SHK,1669248000,36648,35904,241,26,30,0
SHL,1669248000,12600,12316,199,8,7,1
SLF,1669248000,41279,40451,581,21,13,0
SM,1669248000,55369,54299,731,32,22,0
SOK,1669248000,33851,33137,344,21,24,0
SOM,1669248000,27080,26667,256,19,14,0
SON,1669248000,24072,23456,300,9,20,0
UH,1669248000,43096,42510,425,34,17,0
WAK,1669248000,63101,62246,463,18,27,0
WE,1669248000,26943,26615,182,17,8,0
TH,1669248000,860480,845200,7911,492,562,7
