Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1624147200,6877,6564,291,1,7,0
AP,1624147200,4127,4043,78,0,1,0
EA,1624147200,1952,1859,75,0,5,0
EF,1624147200,8618,8328,272,0,3,0
EIC,1624147200,6216,5963,247,0,1,0
G,1624147200,5696,5482,199,0,0,0
GRZ,1624147200,7844,7563,227,0,0,0
GTH,1624147200,8651,8411,204,1,6,0
HBN,1624147200,5364,5102,241,0,6,0
IK,1624147200,6508,6282,218,0,3,0
J,1624147200,4333,4241,82,1,1,0
KYF,1624147200,3681,3512,143,1,2,0
NDH,1624147200,2935,2861,70,0,1,0
SHK,1624147200,4721,4593,124,0,0,0
SHL,1624147200,2176,2057,113,0,0,0
SLF,1624147200,6781,6472,287,0,0,0
SM,1624147200,10000,9612,368,0,0,0
SOK,1624147200,6438,6253,176,0,4,0
SOM,1624147200,4163,4029,130,0,0,0
SON,1624147200,4250,4060,163,0,0,0
UH,1624147200,6417,6101,257,0,13,0
WAK,1624147200,8286,8000,245,1,4,0
WE,1624147200,2613,2504,102,0,0,0
TH,1624147200,128647,123892,4312,5,57,0
