Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1622073600,6812,6190,289,6,36,1
AP,1622073600,4088,3933,78,5,13,0
EA,1622073600,1923,1809,73,1,6,0
EF,1622073600,8517,8077,262,19,2,0
EIC,1622073600,6184,5831,234,5,9,2
G,1622073600,5649,5382,195,7,10,0
GRZ,1622073600,7812,7129,211,12,26,0
GTH,1622073600,8497,8062,202,39,38,1
HBN,1622073600,5250,4830,240,11,7,0
IK,1622073600,6434,6068,214,10,18,0
J,1622073600,4326,4171,75,3,8,0
KYF,1622073600,3613,3409,141,4,12,1
NDH,1622073600,2908,2728,69,3,20,0
SHK,1622073600,4683,4491,118,-8,3,2
SHL,1622073600,2161,2007,110,3,15,0
SLF,1622073600,6726,6294,279,11,13,0
SM,1622073600,9912,9352,364,31,27,2
SOK,1622073600,6386,5839,165,22,87,3
SOM,1622073600,4117,3905,130,0,15,0
SON,1622073600,4141,3750,159,22,34,0
UH,1622073600,6245,5877,245,5,12,1
WAK,1622073600,8209,7774,236,9,19,0
WE,1622073600,2590,2425,100,4,9,0
TH,1622073600,127183,119333,4189,224,439,13
