ags,rs,gemeinde,landkreis
16075093,160755011093,Rosendorf,Saale-Orla-Kreis
16075098,160750098098,Schleiz,Saale-Orla-Kreis
16075099,160755011099,Schmieritz,Saale-Orla-Kreis
16075101,160755013101,Schmorda,Saale-Orla-Kreis
16075102,160755013102,Schöndorf,Saale-Orla-Kreis
16075103,160755013103,Seisla,Saale-Orla-Kreis
16075105,160755005105,Solkwitz,Saale-Orla-Kreis
16075109,160755004109,Tegau,Saale-Orla-Kreis
16075114,160755011114,Tömmelsdorf,Saale-Orla-Kreis
16075116,160755011116,Triptis,Saale-Orla-Kreis
16075119,160755004119,Volkmannsdorf,Saale-Orla-Kreis
16075121,160755005121,Weira,Saale-Orla-Kreis
16075124,160755005124,Wernburg,Saale-Orla-Kreis
16075125,160755013125,Wilhelmsdorf,Saale-Orla-Kreis
16075127,160755013127,Ziegenrück,Saale-Orla-Kreis
16075129,160755013129,Krölpa,Saale-Orla-Kreis
16075131,160750131131,Gefell,Saale-Orla-Kreis
16075132,160750132132,Tanna,Saale-Orla-Kreis
16075133,160750133133,Wurzbach,Saale-Orla-Kreis
16075134,160750134134,Remptendorf,Saale-Orla-Kreis
16075135,160750135135,Saalburg-Ebersdorf,Saale-Orla-Kreis
16075136,160750136136,Rosenthal am Rennsteig,Saale-Orla-Kreis
16076003,160765051003,Bad Köstritz,Greiz
16076004,160760004004,Berga,Greiz
16076006,160765008006,Bethenhausen,Greiz
16076007,160765006007,Bocka,Greiz
16076008,160765008008,Brahmenau,Greiz
16076009,160765004009,Braunichswalde,Greiz
16076012,160765051012,Caaschwitz,Greiz
16076014,160765053014,Crimla,Greiz
16076017,160765004017,Endschütz,Greiz
16076019,160765004019,Gauern,Greiz
16076022,160760022022,Greiz,Greiz
16076023,160765008023,Großenstein,Greiz
16076026,160765051026,Hartmannsdorf,Greiz
16076027,160765004027,Hilbersdorf,Greiz
16076028,160765008028,Hirschfeld,Greiz
16076029,160765056029,Hohenleuben,Greiz
16076033,160765006033,Hundhaupten,Greiz
16076034,160765004034,Kauern,Greiz
16076036,160765008036,Korbußen,Greiz
16076038,160765056038,Kühdorf,Greiz
16076039,160765056039,Langenwetzendorf,Greiz
16076041,160765054041,Langenwolschendorf,Greiz
16076042,160765006042,Lederhose,Greiz
16076043,160765004043,Linda b. Weida,Greiz
16076044,160765006044,Lindenkreuz,Greiz
16076049,160765006049,Münchenbernsdorf,Greiz
16076055,160765004055,Paitzdorf,Greiz
16076058,160765008058,Pölzig,Greiz
16076059,160765008059,Reichstädt,Greiz
16076061,160760061061,Ronneburg,Greiz
16076062,160765004062,Rückersdorf,Greiz
16076064,160765006064,Saara,Greiz
16076067,160765008067,Schwaara,Greiz
16076068,160765006068,Schwarzbach,Greiz
16076069,160765004069,Seelingstädt,Greiz
16076074,160765004074,Teichwitz,Greiz
16076079,160765053079,Weida,Greiz
16076081,160765054081,Weißendorf,Greiz
16076084,160765004084,Wünschendorf,Greiz
16076084,160765004084,Elster,Greiz
16076086,160765006086,Zedlitz,Greiz
16076087,160765054087,Zeulenroda-Triebes,Greiz
16076088,160760088088,Harth-Pöllnitz,Greiz
16076089,160760089089,Kraftsdorf,Greiz
16076092,160760092092,Auma-Weidatal,Greiz
16076093,160760093093,Mohlsdorf-Teichwolframsdorf,Greiz
16077001,160770001001,Altenburg,Altenburger Land
16077003,160775052003,Dobitschen,Altenburger Land
16077005,160775004005,Fockendorf,Altenburger Land
16077007,160775004007,Gerstenberg,Altenburger Land
16077008,160775005008,Göhren,Altenburger Land
16077009,160775005009,Göllnitz,Altenburger Land
16077011,160775051011,Göpfersdorf,Altenburger Land
16077012,160775050012,Gößnitz,Altenburger Land
16077015,160775004015,Haselbach,Altenburger Land
16077016,160775009016,Heukewalde,Altenburger Land
16077017,160775050017,Heyersdorf,Altenburger Land
16077018,160775009018,Jonaswalde,Altenburger Land
16077022,160775005022,Kriebitzsch,Altenburger Land
16077023,160775051023,Langenleuba-Niederhain,Altenburger Land
16077026,160775009026,Löbichau,Altenburger Land
16077027,160775005027,Lödla,Altenburger Land
16077028,160770028028,Lucka,Altenburger Land
16077031,160775005031,Mehna,Altenburger Land
16077032,160770032032,Meuselwitz,Altenburger Land
16077034,160775005034,Monstab,Altenburger Land
16077036,160775051036,Nobitz,Altenburger Land
16077039,160775050039,Ponitz,Altenburger Land
16077041,160775009041,Posterstein,Altenburger Land
16077042,160775005042,Rositz,Altenburger Land
16077043,160775052043,Schmölln,Altenburger Land
16077044,160775005044,Starkenberg,Altenburger Land
16077047,160775009047,Thonhausen,Altenburger Land
16077048,160775004048,Treben,Altenburger Land
16077049,160775009049,Vollmershain,Altenburger Land
16077052,160775004052,Windischleuba,Altenburger Land
