datum,unixzeit,bestaetigte_faelle,genesen,tote,stationaer,schwere_verlaeufe,platzhalter3,quelle
15.04.20 10:00,1586944800,50,32,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
16.04.20 10:00,1587031200,50,39,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
17.04.20 10:00,1587117600,50,45,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
18.04.20 10:00,1587204000,50,45,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
19.04.20 10:00,1587290400,50,46,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
20.04.20 10:00,1587376800,50,47,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
21.04.20 10:00,1587463200,52,48,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
22.04.20 10:00,1587549600,53,49,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
23.04.20 10:00,1587636000,55,49,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
24.04.20 10:00,1587722400,55,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
25.04.20 10:00,1587808800,55,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
26.04.20 10:00,1587895200,55,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
27.04.20 10:00,1587981600,56,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
28.04.20 10:00,1588068000,56,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
29.04.20 10:00,1588154400,56,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
30.04.20 10:00,1588240800,57,50,1,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
