Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1584835200,80+,5,2.79,0.71
1584921600,00+,28,1.32,4.00
1584921600,00-04,0,0.00,0.00
1584921600,05-14,0,0.00,0.00
1584921600,15-34,1,0.26,0.14
1584921600,35-59,10,1.38,1.43
1584921600,60-79,11,1.97,1.57
1584921600,80+,6,3.35,0.86
1585008000,00+,31,1.46,4.43
1585008000,00-04,0,0.00,0.00
1585008000,05-14,0,0.00,0.00
1585008000,15-34,1,0.26,0.14
1585008000,35-59,11,1.52,1.57
1585008000,60-79,12,2.15,1.71
1585008000,80+,7,3.91,1.00
1585094400,00+,42,1.98,6.00
1585094400,00-04,0,0.00,0.00
1585094400,05-14,0,0.00,0.00
1585094400,15-34,1,0.26,0.14
1585094400,35-59,16,2.21,2.29
1585094400,60-79,13,2.32,1.86
1585094400,80+,12,6.70,1.71
1585180800,00+,49,2.31,7.00
1585180800,00-04,0,0.00,0.00
1585180800,05-14,0,0.00,0.00
1585180800,15-34,1,0.26,0.14
1585180800,35-59,17,2.35,2.43
1585180800,60-79,15,2.68,2.14
1585180800,80+,16,8.93,2.29
1585267200,00+,50,2.36,7.14
1585267200,00-04,0,0.00,0.00
1585267200,05-14,0,0.00,0.00
1585267200,15-34,1,0.26,0.14
1585267200,35-59,15,2.08,2.14
1585267200,60-79,18,3.22,2.57
1585267200,80+,16,8.93,2.29
1585353600,00+,58,2.74,8.29
1585353600,00-04,0,0.00,0.00
1585353600,05-14,0,0.00,0.00
1585353600,15-34,0,0.00,0.00
1585353600,35-59,18,2.49,2.57
1585353600,60-79,20,3.58,2.86
1585353600,80+,20,11.16,2.86
1585440000,00+,74,3.49,10.57
1585440000,00-04,0,0.00,0.00
1585440000,05-14,0,0.00,0.00
1585440000,15-34,0,0.00,0.00
1585440000,35-59,23,3.18,3.29
1585440000,60-79,29,5.18,4.14
1585440000,80+,22,12.28,3.14
1585526400,00+,73,3.44,10.43
1585526400,00-04,0,0.00,0.00
1585526400,05-14,0,0.00,0.00
1585526400,15-34,0,0.00,0.00
1585526400,35-59,21,2.91,3.00
1585526400,60-79,30,5.36,4.29
1585526400,80+,22,12.28,3.14
1585612800,00+,76,3.58,10.86
1585612800,00-04,0,0.00,0.00
1585612800,05-14,0,0.00,0.00
1585612800,15-34,1,0.26,0.14
1585612800,35-59,22,3.04,3.14
1585612800,60-79,29,5.18,4.14
1585612800,80+,24,13.40,3.43
1585699200,00+,76,3.58,10.86
1585699200,00-04,0,0.00,0.00
1585699200,05-14,0,0.00,0.00
1585699200,15-34,1,0.26,0.14
1585699200,35-59,19,2.63,2.71
1585699200,60-79,34,6.08,4.86
1585699200,80+,22,12.28,3.14
1585785600,00+,79,3.73,11.29
1585785600,00-04,0,0.00,0.00
1585785600,05-14,0,0.00,0.00
1585785600,15-34,1,0.26,0.14
1585785600,35-59,19,2.63,2.71
1585785600,60-79,37,6.61,5.29
1585785600,80+,22,12.28,3.14
1585872000,00+,86,4.06,12.29
1585872000,00-04,0,0.00,0.00
1585872000,05-14,0,0.00,0.00
1585872000,15-34,2,0.52,0.29
1585872000,35-59,20,2.77,2.86
1585872000,60-79,39,6.97,5.57
1585872000,80+,25,13.95,3.57
