Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
1592956800,3239,3048,191,0,0,0
1593043200,3243,3052,191,0,0,0
1593129600,3248,3056,192,0,0,0
1593216000,3248,3056,192,0,0,0
1593302400,3248,3056,192,0,0,0
1593388800,3250,3058,192,0,0,0
1593475200,3255,3063,192,0,0,0
1593561600,3256,3064,192,0,0,0
1593648000,3266,3074,192,0,0,0
1593734400,3266,3074,192,0,0,0
1593820800,3269,3077,192,0,0,0
1593907200,3271,3079,192,0,0,0
1593993600,3276,3083,193,0,0,0
1594080000,3283,3090,193,0,0,0
1594166400,3286,3093,193,0,0,0
1594252800,3288,3095,193,0,0,0
1594339200,3289,3096,193,0,0,0
1594425600,3292,3099,193,0,0,0
1594512000,3293,3100,193,0,0,0
1594598400,3296,3103,193,0,0,0
1594684800,3303,3110,193,0,0,0
1594771200,3312,3119,193,0,0,0
1594857600,3317,3124,193,0,0,0
1594944000,3320,3127,193,0,0,0
1595030400,3321,3128,193,0,0,0
1595116800,3322,3129,193,0,0,0
1595203200,3324,3131,193,0,0,0
1595289600,3325,3132,193,0,0,0
1595376000,3326,3133,193,0,0,0
1595462400,3338,3145,193,0,0,0
1595548800,3340,3147,193,0,0,0
1595635200,3346,3153,193,0,0,0
1595721600,3347,3154,193,0,0,0
1595808000,3351,3158,193,0,0,0
1595894400,3357,3163,194,0,0,0
1595980800,3360,3166,194,0,0,0
1596067200,3366,3171,195,0,0,0
1596153600,3372,3177,195,0,0,0
1596240000,3375,3180,195,0,0,0
1596326400,3376,3181,195,0,0,0
1596412800,3386,3191,195,0,0,0
1596499200,3390,3195,195,0,0,0
1596585600,3401,3206,195,0,0,0
1596672000,3415,3220,195,0,0,0
1596758400,3425,3230,195,0,0,0
1596844800,3427,3232,195,0,0,0
1596931200,3428,3233,195,0,0,0
1597017600,3441,3246,195,0,0,0
1597104000,3455,3260,195,0,0,0
1597190400,3474,3279,195,0,0,0
1597276800,3485,3290,195,0,0,0
1597363200,3496,3301,195,0,0,0
1597449600,3497,3302,195,0,0,0
1597536000,3499,3304,195,0,0,0
1597622400,3504,3309,195,0,0,0
1597708800,3517,3322,195,0,0,0
1597795200,3523,3328,195,0,0,0
1597881600,3536,3341,195,0,0,0
1597968000,3545,3350,195,0,0,0
1598054400,3552,3357,195,0,0,0
1598140800,3556,3361,195,0,0,0
1598227200,3566,3370,196,0,0,0
1598313600,3575,3379,196,0,0,0
1598400000,3582,3386,196,0,0,0
1598486400,3596,3400,196,0,0,0
1598572800,3619,3423,196,0,0,0
1598659200,3628,3432,196,0,0,0
1598745600,3628,3432,196,0,0,0
1598832000,3633,3437,196,0,0,0
1598918400,3643,3447,196,0,0,0
1599004800,3654,3458,196,0,0,0
1599091200,3666,3470,196,0,0,0
1599177600,3684,3488,196,0,0,0
1599264000,3688,3492,196,0,0,0
1599350400,3695,3498,197,0,0,0
1599436800,3699,3502,197,0,0,0
1599523200,3709,3512,197,0,0,0
1599609600,3728,3531,197,0,0,0
1599696000,3747,3550,197,0,0,0
1599782400,3771,3573,198,0,0,0
1599868800,3794,3596,198,0,0,0
1599955200,3807,3609,198,0,0,0
1600041600,3824,3626,198,0,0,0
1600128000,3850,3651,199,0,0,0
1600214400,3875,3676,199,0,0,0
1600300800,3900,3701,199,0,0,0
1600387200,3932,3733,199,0,0,0
1600473600,3939,3740,199,0,0,0
1600560000,3945,3746,199,0,0,0
1600646400,3971,3771,200,0,0,0
1600732800,3988,3788,200,0,0,0
1600819200,4009,3809,200,0,0,0
1600905600,4030,3830,200,0,0,0
1600992000,4048,3848,200,0,0,0
1601078400,4055,3854,201,0,0,0
1601164800,4058,3857,201,0,0,0
1601251200,4066,3865,201,0,0,0
1601337600,4081,3880,201,0,0,0
1601424000,4112,3910,202,0,0,0
1601510400,4141,3939,202,0,0,0
1601596800,4171,3969,202,0,0,0
1601683200,4213,4011,202,0,0,0
1601769600,4220,4018,202,0,0,0
1601856000,4230,4028,202,0,0,0
1601942400,4248,4045,203,0,0,0
1602028800,4290,4086,204,0,0,0
1602115200,4338,4133,204,0,0,0
1602201600,4398,4193,204,0,0,0
1602288000,4451,4244,206,0,0,0
1602374400,4459,4252,206,0,0,0
1602460800,4518,4311,206,0,0,0
1602547200,4577,4369,207,0,0,0
1602633600,4655,4446,208,0,0,0
1602720000,4729,4519,209,0,0,0
1602806400,4853,4642,210,0,0,0
1602892800,4923,4712,210,0,0,0
1602979200,4955,4744,210,0,0,0
1603065600,5019,4808,210,0,0,0
1603152000,5136,4922,213,0,0,0
1603238400,5300,5085,214,0,0,0
1603324800,5464,5247,216,0,0,0
1603411200,5662,5442,219,0,0,0
1603497600,5867,5639,227,0,0,0
1603584000,5935,5706,228,0,0,0
1603670400,6030,5800,229,0,0,0
1603756800,6287,6055,231,0,0,0
1603843200,6514,6279,234,0,0,0
1603929600,6743,6504,238,0,0,0
1604016000,7079,6831,247,0,0,0
1604102400,7247,6996,250,0,0,0
1604188800,7306,7052,253,0,0,0
